libro,autor,editorial,anio_publicacion,num_paginas,formato,categoria,rating,popularidad_libro
Pilares de la ingeniería Economía,Ricardo Gualán,McGraw-Hill,2017,589,Digital,Economía,4.76,7
Calidad en el desarrollo de Artes,Esteban Aguilar,Springer,2012,523,Digital,Artes,3.67,2
Conocimientos de Ciencias de la salud,Nicolas Sau,Pearson,2000,380,Digital,Ciencias de la salud,2.16,2
Fundamentos de Ciencias de la salud,Daniel Martinez,Oxford Press,2004,414,Digital,Ciencias de la salud,0.69,2
Procesos de la ingeniería Mecanica,Alfons Gonzalez,Springer,2018,480,Digital,Mecanica,3.74,7
El gran libro de Handbook de Robotica,Ricardo Gualán,Pearson,2003,352,Digital,Robotica,0.77,7
Aplicaciones modernas de Educación,Luis Martínez,Pearson,2016,366,Físico,Educación,3.44,1
Principios de Hoteleria y turismo,Sergio Gomez,Reverté,2018,343,Digital,Hoteleria y turismo,0.38,10
Calidad en el desarrollo de Derecho,Fernando Ortega,Springer,2020,253,Digital,Derecho,0.6,6
El gran libro de Handbook de Filosofía,Fernando Jimenez,Oxford Press,2022,181,Físico,Filosofía,3.38,1
Pilares de la ingeniería Educación,Kenneth E. Kendall,Reverté,2018,424,Digital,Educación,0.25,4
Aplicaciones modernas de Industrial,Daniel Martinez,Marcombo,2008,141,Físico,Industrial,3.95,4
Pilares de la ingeniería Economía,Sergio Gomez,Cengage,2009,331,Físico,Economía,1.28,2
Procesos de la ingeniería Ambiental,Carlos Javier,Springer,2017,340,Físico,Ambiental,4.85,10
Calidad en el desarrollo de Educación,Paul Clements,Pearson,2013,145,Físico,Educación,4.97,2
Fundamentos de Mecanica,Verónica Salazar,Santillana,2004,479,Físico,Mecanica,1.7,10
Fundamentos de Informática,Fernando Jimenez,Santillana,2006,238,Digital,Informática,3.29,8
Principios de Hoteleria y turismo,Alfons Gonzalez,Cambridge Press,2006,462,Físico,Hoteleria y turismo,2.76,2
Aplicaciones modernas de Biodiversidad y recursos geneticos,Fernando Ortega,Cambridge Press,2019,144,Digital,Biodiversidad y recursos geneticos,2.67,5
Principios de Economía,Nicolas Sau,Cambridge Press,2018,745,Físico,Economía,0.58,8
Conocimientos de Industrial,Ricardo Gualán,Santillana,2008,629,Digital,Industrial,2.43,5
Sistematizacion de Educación,Patricia León,Santillana,2012,596,Digital,Educación,0.93,5
Procesos de la ingeniería Economía,Ricardo Gualán,Santillana,2013,756,Digital,Economía,4.9,10
Fundamentos de Ambiental,Fernando Ortega,Springer,2019,263,Digital,Ambiental,0.44,8
Sistematizacion de Informática,Luis Martínez,Cambridge Press,2004,201,Físico,Informática,1.67,7
Procesos de la ingeniería Biodiversidad y recursos geneticos,Daniela Lopez,Oxford Press,2002,160,Digital,Biodiversidad y recursos geneticos,0.21,6
El gran libro de Handbook de Arquitectura,Nuria Alvarez,Cengage,2010,249,Digital,Arquitectura,4.03,2
Aplicaciones modernas de Economía,Patricia León,Springer,2011,632,Físico,Economía,3.14,7
Fundamentos de Artes,Guillermo Pantaleon,Marcombo,2000,754,Físico,Artes,0.51,7
Principios de Arquitectura,Carlos Pérez,Panamericana,2008,613,Físico,Arquitectura,3.54,8
Sistematizacion de Filosofía,María Torres,Oxford Press,2021,272,Físico,Filosofía,4.21,6
Procesos de la ingeniería Biodiversidad y recursos geneticos,Carlos Javier,Santillana,2015,176,Físico,Biodiversidad y recursos geneticos,4.83,4
Fundamentos de Ciencias de la salud,María Torres,Pearson,2001,278,Físico,Ciencias de la salud,1.37,9
Calidad en el desarrollo de Mecanica,Sergio Gomez,Pearson,2017,542,Físico,Mecanica,0.95,4
Conocimientos de Educación,Jose Rafael,McGraw-Hill,2015,288,Digital,Educación,3.49,5
Pilares de la ingeniería Artes,Nicolas Sau,Cambridge Press,2006,346,Digital,Artes,4.94,8
Conocimientos de Artes,Kenneth E. Kendall,McGraw-Hill,2014,131,Físico,Artes,4.38,9
Procesos de la ingeniería Ciencias de la salud,Paul Clements,Alfaomega,2015,299,Físico,Ciencias de la salud,2.24,1
Conocimientos de Filosofía,Daniela Lopez,McGraw-Hill,2000,746,Digital,Filosofía,3.06,3
Calidad en el desarrollo de Industrial,Fernando Jimenez,Alfaomega,2020,468,Digital,Industrial,4.06,4
Fundamentos de Mecanica,Patricia León,Reverté,2008,648,Digital,Mecanica,2.05,3
Fundamentos de Informática,Nicolas Sau,Cambridge Press,2012,446,Físico,Informática,3.81,9
Principios de Derecho,María Torres,McGraw-Hill,2018,276,Digital,Derecho,4.3,2
Calidad en el desarrollo de Educación,Alfons Gonzalez,Oxford Press,2019,593,Digital,Educación,4.37,5
Fundamentos de Ambiental,Julia Herrera,Marcombo,2004,378,Físico,Ambiental,1.54,1
Sistematizacion de Ambiental,María Torres,Oxford Press,2022,455,Físico,Ambiental,2.22,7
Conocimientos de Economía,Jose Munoz,McGraw-Hill,2015,186,Digital,Economía,3.31,7
Conocimientos de Economía,Guillermo Pantaleon,Santillana,2021,346,Físico,Economía,2.94,3
El gran libro de Handbook de Mecanica,Esteban Aguilar,Santillana,2008,239,Digital,Mecanica,2.11,10
Fundamentos de Civil,Fernando Jimenez,Marcombo,2019,729,Físico,Civil,3.51,10
Aplicaciones modernas de Mecanica,Jose Rafael,McGraw-Hill,2018,131,Digital,Mecanica,3.74,8
Principios de Economía,Sergio Gomez,Pearson,2016,735,Físico,Economía,3.05,3
Pilares de la ingeniería Arquitectura,Fernando Ortega,Springer,2003,553,Digital,Arquitectura,4.39,10
Conocimientos de Filosofía,Nicolas Sau,Oxford Press,2008,757,Físico,Filosofía,2.87,2
Fundamentos de Derecho,Andrea Gómez,Oxford Press,2013,339,Digital,Derecho,2.95,3
Sistematizacion de Hoteleria y turismo,Sebastian Raschka,Reverté,2022,275,Digital,Hoteleria y turismo,4.98,3
Pilares de la ingeniería Ambiental,Daniel Martinez,Panamericana,2010,770,Digital,Ambiental,2.72,7
Aplicaciones modernas de Educación,Agustin Reboredo,Cambridge Press,2009,570,Físico,Educación,0.05,8
Sistematizacion de Artes,Julio Martin,Reverté,2012,354,Físico,Artes,3.3,9
El gran libro de Handbook de Filosofía,Verónica Salazar,Oxford Press,2015,227,Digital,Filosofía,4.76,3
Aplicaciones modernas de Hoteleria y turismo,Luis Martínez,Alfaomega,2003,780,Digital,Hoteleria y turismo,1.48,3
Conocimientos de Filosofía,Paul Clements,Oxford Press,2001,721,Digital,Filosofía,1.49,1
Sistematizacion de Ciencias de la salud,Kenneth E. Kendall,Panamericana,2006,519,Digital,Ciencias de la salud,2.23,6
Fundamentos de Hoteleria y turismo,Nuria Alvarez,Santillana,2022,252,Digital,Hoteleria y turismo,2.77,2
Pilares de la ingeniería Mecanica,María Torres,McGraw-Hill,2008,180,Físico,Mecanica,3.36,2
Sistematizacion de Artes,Daniela Lopez,Pearson,2012,616,Físico,Artes,3.36,9
Sistematizacion de Educación,Fernando Ortega,Oxford Press,2001,729,Físico,Educación,3.98,4
Fundamentos de Educación,Agustin Reboredo,Cengage,2005,370,Físico,Educación,0.34,7
El gran libro de Handbook de Civil,Verónica Salazar,Santillana,2022,571,Físico,Civil,4.04,8
Procesos de la ingeniería Civil,Carlos Javier,Cengage,2002,655,Digital,Civil,4.28,9
Aplicaciones modernas de Biodiversidad y recursos geneticos,Jose Munoz,Alfaomega,2012,227,Físico,Biodiversidad y recursos geneticos,3.56,3
Principios de Civil,Ricardo Gualán,Pearson,2018,310,Físico,Civil,3.89,2
Pilares de la ingeniería Industrial,Jose Munoz,Springer,2011,287,Digital,Industrial,3.26,6
Sistematizacion de Artes,Andrea Gómez,Springer,2012,188,Digital,Artes,4.62,2
Conocimientos de Ciencias de la salud,Luis Martínez,Panamericana,2010,165,Digital,Ciencias de la salud,3.79,3
Calidad en el desarrollo de Biodiversidad y recursos geneticos,Julia Herrera,Alfaomega,2003,207,Físico,Biodiversidad y recursos geneticos,4.89,1
Calidad en el desarrollo de Informática,Carlos Javier,Reverté,2021,127,Físico,Informática,0.9,7
Principios de Ciencias de la salud,Paul Clements,Alfaomega,2016,421,Digital,Ciencias de la salud,1.55,9
Principios de Industrial,Paul Clements,Reverté,2017,337,Físico,Industrial,2.57,4
Sistematizacion de Ambiental,Julio Martin,Panamericana,2009,626,Físico,Ambiental,1.85,1
Aplicaciones modernas de Hoteleria y turismo,Fernando Ortega,Cengage,2016,767,Digital,Hoteleria y turismo,0.12,10
Principios de Biodiversidad y recursos geneticos,Alfons Gonzalez,Santillana,2011,570,Físico,Biodiversidad y recursos geneticos,1.57,6
Fundamentos de Ciencias de la salud,Alfons Gonzalez,Panamericana,2010,214,Digital,Ciencias de la salud,1.1,3
Procesos de la ingeniería Economía,Verónica Salazar,Oxford Press,2018,148,Físico,Economía,2.95,9
Fundamentos de Economía,Fernando Ortega,McGraw-Hill,2008,593,Físico,Economía,3.19,1
Pilares de la ingeniería Civil,Guillermo Pantaleon,Cengage,2000,426,Digital,Civil,1.81,4
Conocimientos de Derecho,Sebastian Raschka,Reverté,2002,224,Físico,Derecho,4.58,5
El gran libro de Handbook de Mecanica,Julia Herrera,Pearson,2009,769,Físico,Mecanica,2.56,3
Procesos de la ingeniería Filosofía,Julio Martin,Oxford Press,2015,269,Físico,Filosofía,4.61,4
Conocimientos de Hoteleria y turismo,Guillermo Pantaleon,Springer,2000,702,Físico,Hoteleria y turismo,2.73,3
Fundamentos de Artes,Patricia León,Santillana,2003,535,Digital,Artes,1.52,4
Sistematizacion de Robotica,Sebastian Raschka,Cengage,2013,294,Digital,Robotica,0.65,7
Procesos de la ingeniería Informática,Andrea Gómez,Cengage,2006,351,Digital,Informática,4.96,2
Calidad en el desarrollo de Ambiental,Andrea Gómez,McGraw-Hill,2002,365,Físico,Ambiental,3.98,8
Procesos de la ingeniería Mecanica,Julio Martin,McGraw-Hill,2013,160,Físico,Mecanica,4.28,6
Aplicaciones modernas de Informática,Jose Rafael,McGraw-Hill,2013,707,Físico,Informática,4.12,6
Aplicaciones modernas de Hoteleria y turismo,Luis Martínez,Alfaomega,2004,710,Físico,Hoteleria y turismo,0.92,8
Principios de Civil,Daniel Martinez,Alfaomega,2006,371,Físico,Civil,2.59,9
Pilares de la ingeniería Artes,Julio Martin,Marcombo,2007,208,Físico,Artes,1.09,9
Fundamentos de Ambiental,Daniel Martinez,Pearson,2014,193,Digital,Ambiental,0.07,8
Sistematizacion de Civil,Esteban Aguilar,Oxford Press,2013,720,Físico,Civil,1.29,8
Pilares de la ingeniería Hoteleria y turismo,Verónica Salazar,Panamericana,2002,353,Digital,Hoteleria y turismo,0.91,4
Conocimientos de Biodiversidad y recursos geneticos,Nuria Alvarez,Cengage,2005,608,Físico,Biodiversidad y recursos geneticos,1.07,4
Principios de Industrial,Alfons Gonzalez,Alfaomega,2013,780,Digital,Industrial,1.18,1
Pilares de la ingeniería Educación,María Torres,Cengage,2001,566,Digital,Educación,2.61,2
Aplicaciones modernas de Robotica,María Torres,Cengage,2009,320,Digital,Robotica,1.7,10
Conocimientos de Educación,Guillermo Pantaleon,McGraw-Hill,2011,589,Físico,Educación,2.86,9
Conocimientos de Informática,Esteban Aguilar,Cambridge Press,2020,132,Físico,Informática,2.41,9
Procesos de la ingeniería Economía,Luis Martínez,Pearson,2010,366,Físico,Economía,2.22,10
Principios de Economía,Esteban Aguilar,Oxford Press,2010,448,Digital,Economía,3.73,9
Aplicaciones modernas de Ambiental,Verónica Salazar,Panamericana,2013,588,Físico,Ambiental,3.61,2
Fundamentos de Robotica,Daniela Lopez,Reverté,2011,612,Físico,Robotica,2.75,9
Sistematizacion de Artes,Daniel Martinez,Springer,2021,553,Digital,Artes,1.8,9
Procesos de la ingeniería Artes,Andrea Gómez,Cambridge Press,2005,775,Físico,Artes,0.85,10
Conocimientos de Hoteleria y turismo,Daniela Lopez,McGraw-Hill,2015,634,Digital,Hoteleria y turismo,1.56,4
Conocimientos de Derecho,Verónica Salazar,Cambridge Press,2012,326,Digital,Derecho,1.99,1
Pilares de la ingeniería Educación,Julio Martin,Santillana,2007,675,Digital,Educación,4.65,10
Procesos de la ingeniería Mecanica,Guillermo Pantaleon,Santillana,2015,435,Físico,Mecanica,0.77,4
Procesos de la ingeniería Informática,Fernando Jimenez,Santillana,2003,484,Físico,Informática,3.42,4
Sistematizacion de Derecho,Daniela Lopez,Pearson,2020,713,Digital,Derecho,1.29,3
Conocimientos de Artes,Sebastian Raschka,Cengage,2013,360,Digital,Artes,0.74,7
El gran libro de Handbook de Educación,Guillermo Pantaleon,Pearson,2016,267,Físico,Educación,1.78,1
Conocimientos de Derecho,Carlos Javier,Cambridge Press,2008,597,Digital,Derecho,3.07,4
Aplicaciones modernas de Mecanica,Fernando Jimenez,Pearson,2006,194,Físico,Mecanica,1.76,2
Calidad en el desarrollo de Civil,Jose Rafael,Alfaomega,2010,394,Físico,Civil,0.8,3
Pilares de la ingeniería Mecanica,Sergio Gomez,Reverté,2016,465,Digital,Mecanica,4.47,7
Pilares de la ingeniería Mecanica,Fernando Jimenez,Pearson,2002,633,Digital,Mecanica,4.64,9
Pilares de la ingeniería Educación,Paul Clements,Springer,2019,793,Digital,Educación,0.38,5
Aplicaciones modernas de Educación,Julia Herrera,Marcombo,2016,590,Físico,Educación,1.67,4
Fundamentos de Biodiversidad y recursos geneticos,Ricardo Gualán,Cambridge Press,2015,445,Físico,Biodiversidad y recursos geneticos,2.28,6
Sistematizacion de Ambiental,Patricia León,Springer,2000,161,Digital,Ambiental,0.63,8
Fundamentos de Economía,Carlos Javier,McGraw-Hill,2007,412,Digital,Economía,0.88,7
Principios de Industrial,Sergio Gomez,Alfaomega,2012,617,Físico,Industrial,3.3,6
El gran libro de Handbook de Robotica,Sebastian Raschka,Oxford Press,2017,551,Físico,Robotica,3.62,8
Procesos de la ingeniería Industrial,Julia Herrera,Cengage,2005,296,Digital,Industrial,2.48,4
Sistematizacion de Economía,Jose Munoz,McGraw-Hill,2011,292,Físico,Economía,3.14,9
Pilares de la ingeniería Derecho,Luis Martínez,Cambridge Press,2016,168,Digital,Derecho,2.88,9
Sistematizacion de Educación,Ricardo Gualán,Santillana,2018,187,Físico,Educación,2.16,5
Aplicaciones modernas de Arquitectura,Nicolas Sau,McGraw-Hill,2005,323,Físico,Arquitectura,0.58,5
Conocimientos de Artes,Jose Munoz,Alfaomega,2007,323,Físico,Artes,0.8,10
Sistematizacion de Educación,Nicolas Sau,McGraw-Hill,2017,381,Físico,Educación,3.37,7
Pilares de la ingeniería Artes,Julia Herrera,Panamericana,2012,194,Digital,Artes,0.8,9
Procesos de la ingeniería Mecanica,Nicolas Sau,Santillana,2005,397,Digital,Mecanica,0.24,5
Aplicaciones modernas de Industrial,Sergio Gomez,Alfaomega,2020,264,Digital,Industrial,2.09,8
Fundamentos de Filosofía,Patricia León,Cambridge Press,2000,570,Físico,Filosofía,2.57,9
El gran libro de Handbook de Industrial,Fernando Ortega,Cengage,2011,653,Digital,Industrial,4.42,6
Pilares de la ingeniería Biodiversidad y recursos geneticos,Fernando Jimenez,Pearson,2014,741,Físico,Biodiversidad y recursos geneticos,4.91,9
Conocimientos de Mecanica,Sebastian Raschka,Cengage,2021,306,Digital,Mecanica,2.61,8
Sistematizacion de Ciencias de la salud,Julio Martin,McGraw-Hill,2006,675,Digital,Ciencias de la salud,1.8,7
Conocimientos de Robotica,Agustin Reboredo,Pearson,2017,329,Digital,Robotica,0.32,3
Calidad en el desarrollo de Industrial,Jose Munoz,Alfaomega,2000,228,Físico,Industrial,1.04,4
Calidad en el desarrollo de Derecho,Daniel Martinez,Santillana,2008,647,Digital,Derecho,3.43,6
Aplicaciones modernas de Biodiversidad y recursos geneticos,Sergio Gomez,McGraw-Hill,2001,477,Digital,Biodiversidad y recursos geneticos,1.02,3
Fundamentos de Arquitectura,Jose Munoz,Cengage,2011,693,Digital,Arquitectura,3.71,3
Fundamentos de Robotica,Ricardo Gualán,Cengage,2007,419,Físico,Robotica,3.81,2
Fundamentos de Artes,Jose Munoz,Reverté,2004,741,Digital,Artes,4.39,6
Calidad en el desarrollo de Mecanica,Ricardo Gualán,Santillana,2011,447,Físico,Mecanica,3.71,3
Calidad en el desarrollo de Biodiversidad y recursos geneticos,Esteban Aguilar,Springer,2015,647,Digital,Biodiversidad y recursos geneticos,4.49,3
Aplicaciones modernas de Artes,Jose Munoz,Pearson,2018,214,Físico,Artes,4.7,8
Sistematizacion de Filosofía,Verónica Salazar,Cengage,2009,487,Digital,Filosofía,4.38,6
Principios de Hoteleria y turismo,Ricardo Gualán,Marcombo,2014,781,Físico,Hoteleria y turismo,2.54,7
Conocimientos de Informática,Patricia León,Cengage,2003,793,Físico,Informática,3.51,2
Fundamentos de Ciencias de la salud,Verónica Salazar,Springer,2015,731,Digital,Ciencias de la salud,4.87,5
Pilares de la ingeniería Civil,Nuria Alvarez,Cengage,2021,513,Físico,Civil,4.61,7
El gran libro de Handbook de Biodiversidad y recursos geneticos,Sebastian Raschka,Pearson,2010,639,Digital,Biodiversidad y recursos geneticos,2.84,2
Fundamentos de Economía,Sebastian Raschka,Reverté,2019,478,Digital,Economía,4.17,8
Principios de Ciencias de la salud,Sebastian Raschka,Pearson,2001,517,Físico,Ciencias de la salud,1.12,1
Principios de Derecho,Fernando Jimenez,Cambridge Press,2015,296,Digital,Derecho,1.96,6
Pilares de la ingeniería Hoteleria y turismo,Fernando Jimenez,Alfaomega,2020,451,Digital,Hoteleria y turismo,4.63,2
El gran libro de Handbook de Robotica,Patricia León,McGraw-Hill,2013,695,Físico,Robotica,1.67,1
Principios de Biodiversidad y recursos geneticos,María Torres,Santillana,2017,213,Físico,Biodiversidad y recursos geneticos,3.93,7
Aplicaciones modernas de Filosofía,Fernando Jimenez,Cengage,2017,152,Físico,Filosofía,1.12,10
Calidad en el desarrollo de Ciencias de la salud,Ricardo Gualán,Cengage,2013,161,Físico,Ciencias de la salud,1.31,5
Procesos de la ingeniería Filosofía,María Torres,Marcombo,2018,339,Físico,Filosofía,0.17,8
Pilares de la ingeniería Arquitectura,Esteban Aguilar,Cengage,2008,330,Digital,Arquitectura,3.13,2
Calidad en el desarrollo de Economía,Guillermo Pantaleon,Reverté,2018,364,Físico,Economía,4.12,1
Sistematizacion de Ciencias de la salud,Jose Rafael,Santillana,2004,308,Digital,Ciencias de la salud,1.51,4
Aplicaciones modernas de Ambiental,Jose Munoz,Reverté,2005,406,Digital,Ambiental,1.48,9
Conocimientos de Ciencias de la salud,Patricia León,Panamericana,2021,690,Físico,Ciencias de la salud,0.65,10
Principios de Arquitectura,Luis Martínez,Alfaomega,2012,662,Físico,Arquitectura,1.63,2
El gran libro de Handbook de Filosofía,Carlos Javier,Alfaomega,2019,410,Físico,Filosofía,0.53,9
Calidad en el desarrollo de Informática,Kenneth E. Kendall,Springer,2000,536,Físico,Informática,1.85,4
Pilares de la ingeniería Filosofía,María Torres,Cengage,2004,352,Digital,Filosofía,3.22,8
Principios de Robotica,Patricia León,Reverté,2000,305,Físico,Robotica,0.18,2
Conocimientos de Hoteleria y turismo,Andrea Gómez,Cengage,2003,567,Digital,Hoteleria y turismo,2.42,2
Fundamentos de Industrial,Luis Martínez,Oxford Press,2009,253,Digital,Industrial,0.33,3
Calidad en el desarrollo de Informática,Luis Martínez,Cambridge Press,2017,384,Físico,Informática,4.49,6
Pilares de la ingeniería Mecanica,Andrea Gómez,Alfaomega,2006,182,Físico,Mecanica,2.99,8
Pilares de la ingeniería Informática,Carlos Pérez,Springer,2011,268,Digital,Informática,4.67,3
Pilares de la ingeniería Filosofía,María Torres,Cambridge Press,2009,677,Digital,Filosofía,4.67,9
Calidad en el desarrollo de Derecho,Ricardo Gualán,Alfaomega,2005,672,Digital,Derecho,4.34,3
Aplicaciones modernas de Civil,Sergio Gomez,Panamericana,2020,450,Digital,Civil,2.6,1
Procesos de la ingeniería Arquitectura,Sebastian Raschka,Cambridge Press,2009,465,Físico,Arquitectura,0.54,5
Principios de Filosofía,Nuria Alvarez,Oxford Press,2010,595,Físico,Filosofía,1.8,10
Principios de Arquitectura,Fernando Ortega,Pearson,2000,514,Digital,Arquitectura,1.6,4
Sistematizacion de Industrial,Kenneth E. Kendall,McGraw-Hill,2012,201,Físico,Industrial,4.94,4
Conocimientos de Ciencias de la salud,Nuria Alvarez,Cambridge Press,2022,543,Físico,Ciencias de la salud,0.22,1
Principios de Industrial,Agustin Reboredo,Reverté,2006,246,Digital,Industrial,3.13,3
El gran libro de Handbook de Educación,Luis Martínez,Springer,2005,250,Digital,Educación,2.63,1
Aplicaciones modernas de Artes,Carlos Javier,Santillana,2004,323,Físico,Artes,4.09,4
Pilares de la ingeniería Hoteleria y turismo,Kenneth E. Kendall,Marcombo,2022,134,Físico,Hoteleria y turismo,3.2,1
Calidad en el desarrollo de Civil,Guillermo Pantaleon,Panamericana,2018,686,Digital,Civil,2.06,3
El gran libro de Handbook de Ciencias de la salud,María Torres,Panamericana,2017,378,Digital,Ciencias de la salud,0.76,3
El gran libro de Handbook de Arquitectura,Julia Herrera,Santillana,2013,256,Digital,Arquitectura,4.99,5
Procesos de la ingeniería Educación,Nuria Alvarez,Cengage,2013,584,Físico,Educación,1.45,9
Pilares de la ingeniería Mecanica,Fernando Ortega,Panamericana,2015,268,Digital,Mecanica,0.12,5
Fundamentos de Economía,María Torres,Oxford Press,2021,392,Digital,Economía,4.49,7
Conocimientos de Derecho,Fernando Jimenez,Cengage,2020,698,Físico,Derecho,3.08,3
Conocimientos de Arquitectura,Nuria Alvarez,Pearson,2009,135,Digital,Arquitectura,3.92,10
Fundamentos de Ciencias de la salud,Julia Herrera,Pearson,2021,390,Digital,Ciencias de la salud,2.06,2
Pilares de la ingeniería Informática,Agustin Reboredo,Cengage,2009,411,Físico,Informática,3.07,6
Aplicaciones modernas de Mecanica,Paul Clements,McGraw-Hill,2014,722,Físico,Mecanica,1.72,2
Calidad en el desarrollo de Filosofía,Fernando Ortega,Marcombo,2012,375,Físico,Filosofía,1.72,7
Pilares de la ingeniería Ciencias de la salud,Jose Munoz,Cengage,2007,597,Físico,Ciencias de la salud,0.39,1
El gran libro de Handbook de Artes,Ricardo Gualán,Pearson,2021,553,Físico,Artes,4.45,8
El gran libro de Handbook de Industrial,Jose Munoz,Santillana,2022,759,Digital,Industrial,2.51,7
Conocimientos de Educación,Esteban Aguilar,Alfaomega,2020,673,Físico,Educación,3.92,4
Pilares de la ingeniería Biodiversidad y recursos geneticos,Guillermo Pantaleon,McGraw-Hill,2006,615,Físico,Biodiversidad y recursos geneticos,2.15,9
Conocimientos de Ambiental,Julio Martin,McGraw-Hill,2015,484,Físico,Ambiental,0.58,5
Aplicaciones modernas de Biodiversidad y recursos geneticos,Patricia León,Oxford Press,2010,146,Físico,Biodiversidad y recursos geneticos,0.51,4
El gran libro de Handbook de Educación,Sergio Gomez,McGraw-Hill,2012,131,Físico,Educación,4.23,4
Calidad en el desarrollo de Derecho,Carlos Javier,Santillana,2010,330,Físico,Derecho,4.35,9
Sistematizacion de Educación,Julio Martin,Reverté,2022,641,Físico,Educación,1.66,4
Principios de Informática,Patricia León,Reverté,2021,520,Físico,Informática,4.92,3
Calidad en el desarrollo de Arquitectura,Carlos Javier,McGraw-Hill,2009,353,Digital,Arquitectura,2.2,6
Aplicaciones modernas de Filosofía,Paul Clements,Marcombo,2001,531,Digital,Filosofía,4.39,5
Principios de Civil,María Torres,Marcombo,2022,664,Físico,Civil,4.93,10
Fundamentos de Artes,Carlos Pérez,Panamericana,2000,432,Digital,Artes,2.17,6
Conocimientos de Industrial,Jose Munoz,Oxford Press,2014,189,Digital,Industrial,3.51,4
Conocimientos de Civil,Carlos Pérez,Springer,2020,171,Físico,Civil,2.78,4
Procesos de la ingeniería Artes,Nicolas Sau,Oxford Press,2010,561,Físico,Artes,3.39,4
Sistematizacion de Civil,Ricardo Gualán,Cambridge Press,2008,496,Digital,Civil,4.65,9
Procesos de la ingeniería Hoteleria y turismo,Paul Clements,Marcombo,2013,558,Digital,Hoteleria y turismo,2.68,5
Sistematizacion de Artes,Daniel Martinez,Cambridge Press,2002,386,Físico,Artes,3.91,3
Procesos de la ingeniería Mecanica,Jose Rafael,Marcombo,2010,718,Físico,Mecanica,0.61,8
Pilares de la ingeniería Industrial,Luis Martínez,Cambridge Press,2007,627,Digital,Industrial,2.55,3
Fundamentos de Biodiversidad y recursos geneticos,Daniel Martinez,Pearson,2020,257,Digital,Biodiversidad y recursos geneticos,1.27,5
Sistematizacion de Biodiversidad y recursos geneticos,Patricia León,Pearson,2005,636,Físico,Biodiversidad y recursos geneticos,3.92,2
Sistematizacion de Biodiversidad y recursos geneticos,Esteban Aguilar,Panamericana,2017,747,Digital,Biodiversidad y recursos geneticos,3.27,3
Pilares de la ingeniería Economía,Fernando Jimenez,Reverté,2013,192,Digital,Economía,2.83,3
Procesos de la ingeniería Mecanica,Kenneth E. Kendall,Alfaomega,2005,194,Digital,Mecanica,2.51,4
Conocimientos de Civil,Sebastian Raschka,Alfaomega,2017,497,Digital,Civil,1.68,3
Sistematizacion de Arquitectura,Daniela Lopez,Marcombo,2006,420,Físico,Arquitectura,3.71,6
Principios de Economía,Kenneth E. Kendall,Cambridge Press,2008,267,Digital,Economía,1.9,10
Conocimientos de Filosofía,Kenneth E. Kendall,Panamericana,2022,777,Digital,Filosofía,0.21,3
Principios de Civil,Verónica Salazar,Cengage,2019,622,Digital,Civil,0.65,6
Fundamentos de Robotica,Sebastian Raschka,Springer,2017,668,Físico,Robotica,2.4,10
Principios de Ambiental,Carlos Javier,Marcombo,2006,703,Digital,Ambiental,1.86,7
Aplicaciones modernas de Robotica,Paul Clements,McGraw-Hill,2022,669,Digital,Robotica,2.34,3
Principios de Robotica,Verónica Salazar,Reverté,2021,767,Digital,Robotica,0.94,9
Fundamentos de Filosofía,Julio Martin,Oxford Press,2012,468,Digital,Filosofía,0.5,4
Principios de Arquitectura,Nicolas Sau,Reverté,2022,528,Físico,Arquitectura,1.03,1
Pilares de la ingeniería Educación,Julia Herrera,McGraw-Hill,2005,781,Físico,Educación,1.96,2
Procesos de la ingeniería Educación,Paul Clements,Cengage,2018,660,Digital,Educación,0.74,7
Sistematizacion de Arquitectura,Ricardo Gualán,Springer,2022,251,Digital,Arquitectura,4.16,2
Principios de Mecanica,María Torres,Marcombo,2014,363,Digital,Mecanica,0.74,8
Principios de Informática,Julia Herrera,McGraw-Hill,2022,720,Digital,Informática,4.47,4
El gran libro de Handbook de Hoteleria y turismo,Patricia León,Cambridge Press,2012,297,Digital,Hoteleria y turismo,3.11,6
Procesos de la ingeniería Educación,Sergio Gomez,Pearson,2004,183,Físico,Educación,4.93,6
Fundamentos de Hoteleria y turismo,Daniela Lopez,Alfaomega,2009,554,Físico,Hoteleria y turismo,1.65,3
Fundamentos de Derecho,Sebastian Raschka,Santillana,2016,594,Digital,Derecho,3.28,1
Pilares de la ingeniería Educación,Daniel Martinez,Cengage,2014,560,Físico,Educación,2.92,7
Calidad en el desarrollo de Civil,Esteban Aguilar,Pearson,2011,238,Físico,Civil,2.2,9
Procesos de la ingeniería Robotica,Sergio Gomez,Pearson,2004,579,Físico,Robotica,4.85,7
Pilares de la ingeniería Industrial,Julia Herrera,Santillana,2022,388,Digital,Industrial,4.51,8
Aplicaciones modernas de Ciencias de la salud,Andrea Gómez,Reverté,2021,742,Digital,Ciencias de la salud,3.19,7
Aplicaciones modernas de Derecho,Agustin Reboredo,McGraw-Hill,2010,625,Digital,Derecho,1.24,2
Procesos de la ingeniería Derecho,Guillermo Pantaleon,Oxford Press,2019,471,Digital,Derecho,3.6,10
Principios de Mecanica,Kenneth E. Kendall,Cambridge Press,2014,767,Físico,Mecanica,2.69,8
Aplicaciones modernas de Economía,Sergio Gomez,McGraw-Hill,2017,455,Digital,Economía,3.25,6
